ipa,id,description,ph.anterior,ph.approximant,ph.atr,ph.back,ph.click,ph.consonantal,ph.constr,ph.continuant,ph.coronal,ph.delrel,ph.distributed,ph.dorsal,ph.ejective,ph.fortis,ph.front,ph.high,ph.implosive,ph.labial,ph.labiodental,ph.lateral,ph.long,ph.low,ph.nasal,ph.periodic,ph.pharyngeal,ph.round,ph.rtr,ph.short,ph.sonorant,ph.spread,ph.stress,ph.strident,ph.syllabic,ph.tap,ph.tense,ph.tone,ph.trill,fk.cm,fk.cp,fk.cs,fk.gc,fk.init,fk.phon,fk.pri,fk.pros,fk.sec,fk.tone,fk.vh,fk.vm,fk.vv,notes
d̠ʒʷ,1104,(voiced) (retracted) (labialized) (postalveolar) (pulmonic-egressive) (affricate) (complex) (consonant),-,-,0,0,-,+,-,-,+,+,+,-,-,-,0,0,-,+,0,-,-,0,-,+,-,+,0,-,-,-,-,+,-,-,0,0,-,affr,palv,cmpx,cons,plme,void,retr,,lblz,,,,,
o̞i,1243,(voiced) (lowered) (rounded-unrounded) (closemid and close) (back and front) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-,+|-,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,,,,back|frnt,rdur,cmid|clos,
d̠ʒʲ,165,(voiced) (retracted) (palatalized) (postalveolar) (pulmonic-egressive) (affricate) (complex) (consonant),-,-,0,+,-,+,-,-,+,+,+,+,-,-,+,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,affr,palv,cmpx,cons,plme,void,retr,,pltz,,,,,
d̠ʒʰ,1924,(voiced) (retracted) (postalveolar) (pulmonic-egressive) (affricate) (post-aspirated) (consonant),-,-,0,0,-,+,-,-,+,+,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,+,-,+,-,-,0,0,-,affr,palv,tasp,cons,plme,void,retr,,,,,,,
d̠̰,1727,(creaky) (retracted) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),-,-,0,0,-,+,+,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,crky,retr,,,,,,,
ɔˤ,1424,(voiced) (pharyngealized) (round) (openmid) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,,phrz,,back,roun,omid,
o̞a,1652,(voiced) (lowered) (rounded-unrounded) (closemid and open) (back and front) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-,-,-,+|-,-,-,-,-|+,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,,,,back|frnt,rdur,cmid|open,
qχˤː,1447,(long) (voiceless) (pharyngealized) (uvular) (pulmonic-egressive) (affricate) (complex) (consonant),0,-,-,+,-,+,-,-,-,+,0,+,-,-,-,-,-,-,0,-,+,-,-,-,-,0,+,-,-,-,-,0,-,-,0,0,-,affr,uvlr,cmpx,cons,plme,voil,,long,phrz,,,,,
ʡ,2016,(voiceless) (pharyngeal) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,0,-,+,-,-,-,-,0,-,-,-,0,0,-,-,0,-,-,0,-,-,+,0,0,-,-,-,-,0,-,-,0,0,-,stop,phry,smpx,cons,plme,voil,,,,,,,,
ŋɡmb,2781,(voiced) (labiovelar) (pulmonic-egressive) (stop) (pre-nasalized) (consonant),0,-,0,-,-,+,-,-,-,-,0,+|-|-,-,-,-,+,-,-|+|+,-,-,-,-,+|-|+|-,+,-,-,0,-,+|-|+|-,-,-,0,-,-,0,0,-,stop,lvlr,pnsz,cons,plme,void,,,,,,,,
eɪ,2013,(voiced) (openmid and nearclose) (front and nearfront) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,-|+,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,+|-,0,-,,,,vowl,plme,void,,,,,frnt|nfrt,,omid|ncls,
ɔː,71,(long) (voiced) (round) (openmid) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,+,-,-,+,-,+,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,long,,,back,roun,omid,
ɔˑ,890,(half-long) (voiced) (openmid) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,+,-,-,+,-,+,-,+,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,hlng,,,back,,omid,
lˤː,1034,(long) (voiced) (lateral-release and pharyngealized) (dental) (glottal-egressive) (approximant) (post-glottalized) (consonant),+,+,-,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,+,+,0,-,+,-,0,+,-,+,-,-,-,-,-,0,0,-,appr,dntl,tglz,cons,glte,void,,long,latr|phrz,,,,,
ɴɢǃqʰ,2620,(voiced) (postalveolar) (velaric-ingressive) (click) (post-aspirated) (consonant),0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clck,palv,tasp,cons,veli,void,,,,,,,,
qǁʰ,2621,(voiceless) (alveolar) (velaric-ingressive) (click) (post-aspirated) (consonant),+,-,0,+,+,+,-,-,+,-,-,+,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0,-,-,+,-,-,-,-,0,0,-,clck,alvr,tasp,cons,veli,voil,,,,,,,,
d̠ʒˠ,1661,(voiced) (retracted) (velarized) (postalveolar) (pulmonic-egressive) (affricate) (complex) (consonant),-,-,0,+,-,+,-,-,+,+,+,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,affr,palv,cmpx,cons,plme,void,retr,,vlrz,,,,,
qǁʼ,2622,(voiceless) (alveolar) (glottal-egressive) (click) (post-glottalized) (consonant),+,-,0,+,+,+,+,-,+,-,-,+,+,-,-,-,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,alvr,tglz,cons,glte,voil,,,,,,,,
jãː,2805,(long) (voiced) (close and open) (front and front) (pulmonic-egressive) (vowel),0,+,-,-,-,-,-,+,-,0,0,+,-,-,+|-,+|-,-,-,0,-,+,-|+,+,+,-,0,-,-,+,-,-,0,-|+,-,+,0,-,,,,vowl,plme,void,,long,,,frnt|frnt,,clos|open,
uːa,2506,(long) (voiced) (rounded-unrounded) (close and open) (back and front) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-,+|-,-,+|-,-,-,+,-|+,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,long,,,back|frnt,rdur,clos|open,
æe,2081,(voiced) (nearopen and closemid) (front and front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,-,-,-,0,-,-,+|-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,,,frnt|frnt,,nopn|cmid,
æi,1697,(voiced) (nearopen and close) (front and front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,-|+,-,-,0,-,-,+|-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,,,frnt|frnt,,nopn|clos,
t̃,1987,(voiceless) (nasalized) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,+,-,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,voil,nasz,,,,,,,
fː,680,(long) (voiceless) (labiodental) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,0,-,+,-,+,-,+,0,-,-,-,0,0,-,+,+,-,+,0,-,-,-,-,0,-,-,-,-,0,-,-,0,0,-,frct,lbdt,smpx,cons,plme,voil,,long,,,,,,
b,45,(voiced) (bilabial) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,0,-,+,-,-,-,-,0,-,-,-,0,0,-,+,-,-,-,0,-,+,-,-,0,-,-,-,-,0,-,-,0,0,-,stop,blab,smpx,cons,plme,void,,,,,,,,
t̺,2446,(voiceless) (apical) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,voil,apcl,,,,,,,
t̻,620,(voiceless) (laminal) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,voil,lmnl,,,,,,,
t̰,1909,(creaky) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,+,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,crky,,,,,,,,
qχˤʼ,1452,(voiceless) (pharyngealized) (uvular) (glottal-egressive) (affricate) (post-glottalized) (consonant),0,-,-,+,-,+,+,-,-,+,0,+,+,-,-,-,-,-,0,-,-,-,-,-,-,0,+,-,-,-,-,0,-,-,0,0,-,affr,uvlr,tglz,cons,glte,voil,,,phrz,,,,,
ʈr,2483,(voiceless) (rhotacized) (retroflex) (pulmonic-egressive) (stop) (complex) (consonant),-|+,-|+,0,0,-,+,-,-|+,+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,-|+,-,0,0,-,-|+,-,-,-,-,-,0,0,-|+,stop,rtfx,cmpx,cons,plme,voil,,,rhtz,,,,,
t̪,269,(voiceless) (dental) (pulmonic-egressive) (stop) (simplex) (consonant),+,-,0,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,dntl,smpx,cons,plme,voil,,,,,,,,
d̠ʒː,270,(long) (voiced) (retracted) (postalveolar) (pulmonic-egressive) (affricate) (complex) (consonant),-,-,0,0,-,+,-,-,+,+,+,-,-,-,0,0,-,-,0,-,+,0,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,affr,palv,cmpx,cons,plme,void,retr,long,,,,,,
t̠,1411,(voiceless) (retracted) (alveolar) (pulmonic-egressive) (stop) (simplex) (consonant),-,-,0,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,smpx,cons,plme,voil,retr,,,,,,,
kǀxʼ,2632,(voiceless) (dental) (glottal-egressive) (click) (post-glottalized) (consonant),+,-,0,-,+,+,+,-,+,-,+,+,+,-,-,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,dntl,tglz,cons,glte,voil,,,,,,,,
ɔɪ,2240,(voiced) (rounded-unrounded) (openmid and nearclose) (back and nearfront) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-,+|-,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,,,,back|nfrt,rdur,omid|ncls,
bˤː,1032,(long) (voiced) (pharyngealized) (bilabial) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,-,0,-,+,-,-,-,-,0,-,-,-,0,0,-,+,-,-,+,0,-,+,-,-,+,-,-,-,-,0,-,-,0,0,-,stop,blab,smpx,cons,plme,void,,long,phrz,,,,,
æu,2263,(voiced) (nearopen and close) (front and back) (pulmonic-egressive) (vowel),0,+,-,-|+,0,-,-,+,-,0,0,+,-,0,+|-,-|+,-,-|+,-,-,-,+|-,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,,,frnt|back,,nopn|clos,
ɔɛ,1965,(voiced) (rounded-unrounded) (openmid and openmid) (back and front) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-|+,-,-,+|-,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,,,,back|frnt,rdur,omid|omid,
ɔə,595,(voiced) (rounded-unrounded) (openmid and mid) (back and central) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-,-,-,+|-,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,,,,back|cntr,rdur,omid|vmid,
ɠː,2795,(long) (voiced) (velar) (glottal-ingressive) (stop) (simplex) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,-,-,+,+,-,0,-,+,-,-,+,-,0,0,-,-,-,-,0,-,-,0,0,-,stop,velr,smpx,cons,glti,void,,long,,,,,,
ɡʼkxʼ,2635,(voiced) (velar) (glottal-egressive) (affricate) (post-glottalized) (consonant),0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,affr,velr,tglz,cons,glte,void,,,,,,,,
ɸː,681,(long) (voiceless) (bilabial) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,0,-,+,-,+,-,+,0,-,-,-,0,0,-,+,-,-,+,0,-,-,-,-,0,-,-,-,-,0,-,-,0,0,-,frct,blab,smpx,cons,plme,voil,,long,,,,,,
nɡɾ,2831,(voiced) (rhotacized) (velar) (pulmonic-egressive) (stop) (pre-nasalized) (consonant),+,-|+,0,-,-,+,-,-|+,+|-|+,-,-,-|+|-,-,-,-,+,-,-,0,-,-,-,+|-|-,+,-,0,0,-,+|-|+,-,-,-,-,-|+,0,0,-,stop,velr,pnsz,cons,plme,void,,,rhtz,,,,,
ɸʷˠ,1156,(voiceless) (labialized and velarized) (bilabial) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,+,-,+,-,+,-,+,0,+,-,-,-,+,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,0,-,-,0,0,-,frct,blab,smpx,cons,plme,voil,,,lblz|vlrz,,,,,
rˤː,1052,(long) (voiced) (pharyngealized) (alveolar) (pulmonic-egressive) (trill) (simplex) (consonant),+,+,-,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,+,0,-,+,-,0,+,-,+,-,-,-,-,-,0,0,+,tril,alvr,smpx,cons,plme,void,,long,phrz,,,,,
oe,2058,(voiced) (rounded-unrounded) (closemid and closemid) (back and front) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-|+,-,-,+|-,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,,,back|frnt,rdur,cmid|cmid,
ɵː,2396,(long) (voiced) (round) (closemid) (central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,+,-,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,long,,,cntr,roun,cmid,
fɾ,2832,(voiceless) (rhotacized) (labiodental) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-|+,0,0,-,+,-,+,-|+,+,-,-,-,-,0,0,-,+|-,+,-,-,0,-,-|+,-,-,0,-,-|+,-,-,-,-,-|+,0,0,-,frct,lbdt,smpx,cons,plme,voil,,,rhtz,,,,,
ɸʼ,776,(voiceless) (bilabial) (glottal-egressive) (fricative) (post-glottalized) (consonant),0,-,0,0,-,+,+,+,-,+,0,-,+,-,0,0,-,+,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,-,0,0,-,frct,blab,tglz,cons,glte,voil,,,,,,,,
ɸʲ,921,(voiceless) (palatalized) (bilabial) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,+,-,+,-,+,-,+,0,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,0,0,-,frct,blab,smpx,cons,plme,voil,,,pltz,,,,,
ɸʰ,2718,(voiceless) (bilabial) (pulmonic-egressive) (fricative) (post-aspirated) (consonant),0,-,0,0,-,+,-,+,-,+,0,-,-,-,0,0,-,+,-,-,-,0,-,-,-,-,0,-,-,+,-,0,-,-,0,0,-,frct,blab,tasp,cons,plme,voil,,,,,,,,
ᴅ̪̰,1610,(creaky) (dental) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,0,-,+,+,+,+,0,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,dntl,smpx,cons,plme,crky,,,,,,,,
ɸʷ,653,(voiceless) (labialized) (bilabial) (pulmonic-egressive) (fricative) (simplex) (consonant),0,-,0,0,-,+,-,+,-,+,0,-,-,-,0,0,-,+,-,-,-,0,-,-,-,+,0,-,-,-,-,0,-,-,0,0,-,frct,blab,smpx,cons,plme,voil,,,lblz,,,,,
ãõ̞ˤ,1681,(voiced) (lowered) (pharyngealized) (unrounded-rounded) (open and closemid) (front and back) (pulmonic-egressive) (vowel),0,+,-,-|+,0,-,-,+,-,0,0,+,-,0,-,-,-,-|+,-,-,-,+|-,+,+,-,+,+,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,,phrz,,frnt|back,urrd,open|cmid,
ɡ,30,(voiced) (velar) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,0,-,-,0,0,-,stop,velr,smpx,cons,plme,void,,,,,,,,
kf,1839,(voiceless) (velar) (pulmonic-egressive) (affricate) (complex) (consonant),0,-,0,-,-,+,-,-|+,-,-|+,0,+|-,-,-,-,+,-,-|+,+,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,0,0,-,affr,velr,cmpx,cons,plme,voil,,,,,,,,Unusual affricate
ɡ̤ǀ͓,1684,(breathy) (mid-centralized) (dental) (velaric-ingressive) (click) (complex) (consonant),+,-,0,-,+,+,-,-,+,+,+,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,+,-,-,-,-,0,0,-,clck,dntl,cmpx,cons,veli,brth,mctr,,,,,,,
ə̘ː,394,(long) (voiced) (advanced) (mid) (central) (pulmonic-egressive) (vowel),0,+,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,-,0,-,+,-,-,+,-,0,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,advc,long,,,cntr,,vmid,
km,2724,(voiceless) (labiovelar) (pulmonic-egressive) (stop) (post-nasalized) (consonant),0,-,0,-,-,+,-,-,-,-,0,+|-,-,-,-,+,-,-|+,-,-,-,-,-|+,-|+,-,-,0,-,-|+,-,-,0,-,-,0,0,-,stop,lvlr,tnsz,cons,plme,voil,,,,,,,,
kl,2890,(voiceless) (lateral-release) (velar) (pulmonic-egressive) (click) (complex) (consonant),+,-|+,0,-,-,+,-,-|+,-|+,-,-,+|-,-,-,-,+,-,-,0,-|+,-,-,-,-|+,-,0,0,-,-|+,-,-,-,-,-,0,0,-,clck,velr,cmpx,cons,plme,voil,,,latr,,,,,
kp,1065,(voiceless) (labiovelar) (pulmonic-egressive) (stop) (complex) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,0,0,-,stop,lvlr,cmpx,cons,plme,voil,,,,,,,,
t̠ʃ,49,(voiceless) (retracted) (postalveolar) (pulmonic-egressive) (affricate) (complex) (consonant),-,-,0,0,-,+,-,-,+,+,+,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,affr,palv,cmpx,cons,plme,voil,retr,,,,,,,
i̙ː,1373,(long) (voiced) (retracted) (close) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+,-,-,0,-,+,-,-,+,-,0,+,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,retr,long,,,frnt,,clos,
kx,423,(voiceless) (velar) (pulmonic-egressive) (affricate) (complex) (consonant),0,-,0,-,-,+,-,-,-,+,0,+,-,-,-,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,0,0,-,affr,velr,cmpx,cons,plme,voil,,,,,,,,
u̜,2802,(voiced) (round) (close) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,,,back,roun,clos,
ðː,2706,(long) (voiced) (interdental) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,0,-,+,-,+,+,+,+,-,-,-,0,0,-,-,0,-,+,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,frct,idnt,smpx,cons,plme,void,,long,,,,,,
u̞,2710,(voiced) (lowered) (round) (close) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,,,,back,roun,clos,
u̙,2430,(voiced) (retracted) (round) (close) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,retr,,,,back,roun,clos,
u̘,2436,(voiced) (advanced) (round) (close) (back) (pulmonic-egressive) (vowel),0,+,+,+,0,-,-,+,-,0,0,+,-,0,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,advc,,,,back,roun,clos,
aˤː,1620,(long) (voiced) (pharyngealized) (open) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,-,0,-,+,+,-,+,-,0,+,-,+,-,-,0,+,-,0,0,-,,,,vowl,plme,void,,long,phrz,,frnt,,open,
ʏ,703,(voiced) (round) (nearclose) (nearfront) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,,,,nfrt,roun,ncls,
bʷ,612,(voiced) (labialized) (bilabial) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,0,-,+,-,-,-,-,0,-,-,-,0,0,-,+,-,-,-,0,-,+,-,+,0,-,-,-,-,0,-,-,0,0,-,stop,blab,smpx,cons,plme,void,,,lblz,,,,,
bʰ,1923,(voiced) (bilabial) (pulmonic-egressive) (stop) (post-aspirated) (consonant),0,-,0,0,-,+,-,-,-,-,0,-,-,-,0,0,-,+,-,-,-,0,-,+,-,-,0,-,-,+,-,0,-,-,0,0,-,stop,blab,tasp,cons,plme,void,,,,,,,,
ü,1894,(voiced) (round) (close) (back) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,,,,back,roun,clos,
bʲ,313,(voiced) (palatalized) (bilabial) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,+,-,+,-,-,-,-,0,+,-,-,+,+,-,+,-,-,-,-,-,+,-,-,0,-,-,-,-,0,-,-,0,0,-,stop,blab,smpx,cons,plme,void,,,pltz,,,,,
bʼ,1621,(voiced) (bilabial) (glottal-egressive) (stop) (post-glottalized) (consonant),0,-,0,0,-,+,+,-,-,-,0,-,+,-,0,0,-,+,-,-,-,0,-,+,-,-,0,-,-,-,-,0,-,-,0,0,-,stop,blab,tglz,cons,glte,void,,,,,,,,
iːɛ,2504,(long) (voiced) (close and openmid) (front and front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+|-,-,-,0,-,+,-,-,+,-,0,-,-,+,-,-,0,+,-,+|-,0,-,,,,vowl,plme,void,,long,,,frnt|frnt,,clos|omid,
ŭ,544,(brief) (voiced) (round) (close) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,+,-,-,-,-,-,+,-,+,-,+,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,brev,,,back,roun,clos,
ɓ̥,1011,(voiceless) (bilabial) (glottal-ingressive) (stop) (simplex) (consonant),0,-,0,0,-,+,-,-,-,-,0,-,-,-,0,0,+,+,-,-,-,0,-,-,-,-,0,-,-,+,-,0,-,-,0,0,-,stop,blab,smpx,cons,glti,voil,,,,,,,,
ɡǁ,2578,(voiced) (lateral-release) (alveolar) (velaric-ingressive) (click) (complex) (consonant),+,-,0,-,+,+,-,-,+,-,-,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,alvr,cmpx,cons,veli,void,,,latr,,,,,
ɡǀ,1875,(voiced) (dental) (velaric-ingressive) (click) (complex) (consonant),+,-,0,-,+,+,-,-,+,-,+,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,dntl,cmpx,cons,veli,void,,,,,,,,
ɡǃ,1623,(voiced) (alveolar) (velaric-ingressive) (click) (complex) (consonant),+,-,0,-,+,+,-,-,+,-,-,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,alvr,cmpx,cons,veli,void,,,,,,,,
ɡǂ,1624,(voiced) (palatal) (velaric-ingressive) (click) (complex) (consonant),-,-,0,-,+,+,-,-,+,-,+,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,palt,cmpx,cons,veli,void,,,,,,,,
ṵ,363,(creaky) (round) (close) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,+,+,-,0,0,+,-,0,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,crky,,,,,back,roun,clos,
k͈ʷ,114,(voiceless) (fortis) (labialized) (velar) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,+,-,+,-,+,0,-,-,-,-,-,-,+,0,-,-,-,-,0,-,-,0,0,-,stop,velr,smpx,cons,plme,voil,frts,,lblz,,,,,
ðˠ,2262,(voiced) (velarized) (interdental) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,+,-,+,-,+,+,+,+,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,frct,idnt,smpx,cons,plme,void,,,vlrz,,,,,
ðˤ,1021,(voiced) (pharyngealized) (interdental) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,-,0,-,+,-,+,+,+,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,+,-,-,-,-,-,-,-,0,0,-,frct,idnt,smpx,cons,plme,void,,,phrz,,,,,
sᶣ,2460,(voiceless) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,+,-,+,-,+,+,+,-,+,-,-,+,+,-,+,0,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,0,0,-,frct,alvr,smpx,cons,plme,voil,,,,,,,,
