Number,Language,"Alternate name(s)",Dialect,Location,Population,Classification,Dictionary,Grammar,Textbooks,"Other Sources",Consonants,Stops,Affricates,Fricatives,Nasals,Laterals,Vibrants,Clicks,"Modified Consonants",Glides,Vowels,"Front vowels","Central vowels","Back vowels","Long vowels","Nasal Vowels","Modified Vowels",Diphthongs,Syllable,Tones,Stress,"Noun number","Noun classes",Gender,Demonstratives,Articles,Pronouns,Syntax,Ergative,"Noun incorporation","Prepositions or postpositions",Comments
2498,Pear,,,"SW Cambodia (Pursat)","2,000","Austric: Austroasiatic: Mon-Khmer: East: Pearic","§Headley, Robert K. Jr. 1977. ""A Pearic Vocabulary,"" MKS 6, 69-149.
Headley, Robert K. Jr. 1978. ""An English-Pearic Vocabulary,"" MKS 7, 61-94.",,,,"§p b   k (ɡ) ʔ
č
 h
m  ñ ŋ

ɾ̪","p b   k (ɡ) ʔ",č," h","m  ñ ŋ",,ɾ̪,,,"j w",§,"i e","ɨ ə a","u o ɔ","i ē  ɨ ə a u ō ɔ",,,"ie iə ea ew aɛ aə aw ao ɨə əw uə oa",,,,,,,,,,,,,,
2499,Suoy,,,Cambodia,200,"Austric: Austroasiatic: Mon-Khmer: East: Pearic",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,Samre,,,"NW Cambodia (Siem Reap)",,"Austric: Austroasiatic: Mon-Khmer: East: Pearic",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,Somray,,,Cambodia,"2,000","Austric: Austroasiatic: Mon-Khmer: East: Pearic",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502,Chong,,,"SW Cambodia (Pursat)",,"Austric: Austroasiatic: Mon-Khmer: East: Pearic",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,Sa'och,,,"SW Cambodia",500,"Austric: Austroasiatic: Mon-Khmer: East: Pearic",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,Mon,,,"S Myanmar (Karen)","415,000","Austric: Austroasiatic: Mon-Khmer: South: Monic","Shorto, H. L. 1962. A Dictionary of Modern Spoken Mon. London: Oxford Univ Press.",,,"§Guillon, Emmanuel. 1976. ""Some Aspects of Mon Syntax,"" in AAS 1, 407-21. 
AL 8:3","§p ph ɓ t th ɗ k kh ʔ
č čh
s š h
m  n  ñ ñ ŋ
l 
r","p ph ɓ t th ɗ k kh ʔ","č čh","s š h","m  n  ñ ñ ŋ","l ",r,,"Some scholars analyze ch and N L and G as clusters.","j w ",§,"i e ɛ","ə ɐ a","u o ɔ ɑ","v ?",,"§vʰ all ?
Vowels belong to two registers: (1) the first register has clear, head voice. (2) The second register, marked by a subscript  ʰ , has breathy, chest voice.","ɔe ao",,,,,,,,,,"SVO NA ND N-NUM N-POSS",,,PREP,
2505,"Nyah Kur",,,"C Thailand","10,000","Austric: Austroasiatic: Mon-Khmer: South: Monic",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,"Jah Hut",,,"C Malaysia (W Pahang)","1,500","Austric: Austroasiatic: Mon-Khmer: South: Aslian",,"Diffloth, G. 1976. ""Jah-Hut, an Austroasiatic Language of Malaysia,"" PL C42, 73-118.",,ASP,"§p b t d c ɉ k ɡ ʔ

s h
m n ñ ŋ
l
r","p b t d c ɉ k ɡ ʔ",,"s h","m n ñ ŋ",l,r,,,"j w",§,"i e ɛ","ʉ ə a","u o ɔ","v ?","ṽ: all",,"§jɛ wo wə wa wɛ wɔ
 j wõ w wã w w",(C)CV(C),,,,,,"5 (3 + that above, that below)",,"§1 4ie
2* 5
3 6
*politeness: familiar/respectful (2)","SVO NA NG ND NUM-N N-POSS Num+N+A+D",erg,,PREP,
2507,"Che' Wong",,,"C Malaysia (Pahang)",270,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Semang",,,,ASP,"§p b t d c ɉ k ɡ ʔ

s h
m n  ñ ñ ŋ 
l
ɾ","p b t d c ɉ k ɡ ʔ",,"s h","m n  ñ ñ ŋ ",l,ɾ,,,"j w",§,"i e ɛ","ʉ ə a","u o ɔ",,"ẽ  ũ",,,,,,,,,,,,,,,,
2508,Kensiu,,,"N Malaysia (Kedah)",200,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Semang: Western",,,,ASP,"§p b t d c ɉ k ɡ ʔ

s h
m n ñ ŋ
l
","p b t d c ɉ k ɡ ʔ",,"s h","m n ñ ŋ",l,,,,"j w",§,"i e ɛ","ʉ ə a","u o ɔ",," ã ũ",,,,,,,,,,,,,,,,
2509,"Kenta' Bong",,,"N Malaysia",200,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Semang: Western",,,,"§Omar, Asmah Haji. 1976. ""The Verb in Kentakbong,"" in AAS 2, 951-70.
ASP","§p b t d c ɉ k ɡ ʔ

s h
m n ñ ŋ
l
","p b t d c ɉ k ɡ ʔ",,"s h","m n ñ ŋ",l,,,,"j w",§,"i e ɛ","ə a","u o ɔ",,"  ã ũ",,,,,,,,,,,,,,,,
2510,Mos,,,Thailand,300,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Semang: Western",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,Jehai,,,"N Malaysia (NE Perak)",700,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Semang: Eastern",,"Schebesta, P. 1928. ""Grammatical Sketch of the Jahai Dialect Spoken by a Negrito Tribe of Ulu Perak and Ulu Kelantan, Malay Peninsula,"" BSOAS 4, 803-26.",,ASP,"§p b t d c ɉ k ɡ ʔ

s h
m n ñ ŋ
l
ɾ","p b t d c ɉ k ɡ ʔ",,"s h","m n ñ ŋ",l,ɾ,,"Nc: ?","j w",§,"i e ɛ","ʉ ə a","u o ɔ",,"  ã ũ ",,,,"hi lo",final,"a few plurals for people",,,3,,"§1 4die 4ie
2 5d 5
3 6d 6
5d=6d; 5=6","SVO NA NG ND NUM-N N-POSS",,,PREP,
2512,Mendriq,,,"N Malaysia (Kelantan)",120,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Semang: Eastern",,,,ASP,"§p b t c ɉ k ɡ ʔ

s h
m n ñ ŋ
l
ɾ","p b t c ɉ k ɡ ʔ",,"s h","m n ñ ŋ",l,ɾ,,,"j w",§,"i e ɛ","ʉ ə a","u o ɔ",," ʉ ã ũ ",,,,,,,,,,,,,,,,
2513,"Bateg Deq",,,"N Malaysia (S Kelantan)",300,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Semang: Eastern",,,ASP,,"§p b t d c ɉ k ɡ ʔ

f s z h
m n ñ ŋ
l
ɾ","p b t d c ɉ k ɡ ʔ",,"f s z h","m n ñ ŋ",l,ɾ,,,"j w",§,"i e ɛ","ʉ ə a","u o ɔ",," ʉ ã ũ",,,,,,,,,,,,,,,,
2514,Mintil,,,"C Malaysia (NW Pahang)",40,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Semang: Eastern",,,,ASP,"§p b t d c ɉ k ɡ ʔ

f s h
m n ñ ŋ
l
","p b t d c ɉ k ɡ ʔ",,"f s h","m n ñ ŋ",l,,,"Nc: ?","j w",§,"i e ɛ","ʉ ə a","u o ɔ",," ʉ  ã ",,,,,,,,,,,,,,,,
2515,"Bateg Nong",,,"C Malaysia (W Pahang)",100,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Semang: Eastern",,,,ASP,"§p b t d c ɉ k ɡ ʔ

f s h
m n ñ ŋ
l
ɾ","p b t d c ɉ k ɡ ʔ",,"f s h","m n ñ ŋ",l,ɾ,,,"j w",§,"i e ɛ","ʉ ə a","u o ɔ",," ẽ ã ",,,,,,,,,,,,,,,,
2516,Semai,,,"C Malaysia (S Perak)","15,500","Austric: Austroasiatic: Mon-Khmer: South: Aslian: Senoic",,,,ASP,"§p b t d c ɉ k ɡ ʔ

s h
m n ñ ŋ
l
ɾ","p b t d c ɉ k ɡ ʔ",,"s h","m n ñ ŋ",l,ɾ,,"Nc p b t d k","j w",§,"i e ɛ","ə a","u o ɔ","v all but u",,,,,,,,,,,,,,,,,
2517,Temiar,,,"N Malaysia (S Perak)","10,000","Austric: Austroasiatic: Mon-Khmer: South: Aslian: Senoic",,"§GD: Carey, Iskandar. 1961. Tengleq Kui Serok. Kuala Lumpur: Dewan Bahasa dan Pustaka.
Benjamin, Geoffery 1976. ""An Outline of Temiar Grammar,"" in AAS 1, 129-87.",,ASP,"§p b t d c ɉ k ɡ ʔ

s h
m n ñ ŋ
l
ɾ","p b t d c ɉ k ɡ ʔ",,"s h","m n ñ ŋ",l,ɾ,,,"j w",§,"I e ɛ","ʉ ə a","ʋ o ɔ","i ē  ʉ u ɯ ō ɔ ɑ","§I  ʉ ã ũ     ɪ  ʉ u ɔ ɑ","nasal harmony",,CV(C),,final,"s p for a few nouns",,,"6: 3 + that just out of reach, that above, that below",def,"§ 1 4die 4ie
2 5d 5
*3 *6d * 6","SVO NA NG ND NUM-N N-POSS Num+N+A+D",,,PREP,
2518,Lanoh,,,"N Malaysia (N Perak)",,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Senoic",,,,ASP,"§p b t d c ɉ k ɡ ʔ

s h
m n ñ ŋ
l
ɾ","p b t d c ɉ k ɡ ʔ",,"s h","m n ñ ŋ",l,ɾ,,,"j w",§,"i e ɛ","ʉ ə a","u o ɔ","v all","§  ã ... 
  u ..."," ɛ e u",,,,,,,,,,,,,,,
2519,Sabum,,,"N Malaysia (N Perak)",,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Senoic",,,,ASP,"§p b t d c ɉ k ɡ ʔ

s h
m n ñ ŋ
l
","p b t d c ɉ k ɡ ʔ",,"s h","m n ñ ŋ",l,,,"Nc ?","j w",§,"i e ɛ","ʉ ə a","u o ɔ","v i ɛ o...","ṽ ɛ u...",,,,,,,,,,,,,,,,
2520,Semnam,,,"N Malaysia",,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Senoic",,,,ASP,"§p b t d c ɉ k ɡ ʔ

f s h
m n ñ ŋ
l
ɾ","p b t d c ɉ k ɡ ʔ",,"f s h","m n ñ ŋ",l,ɾ,,,"j w",§,"i e ɛ","ʉ ə a","u o ɔ","v all but ʉ","§ ũ  
",,,,,,,,,,,,,,,,
2521,"Mah Meri",,,"SW Malaysia (Malacca)","1,200","Austric: Austroasiatic: Mon-Khmer: South: Aslian: Southern",,,,ASP,"§p ph b t th d c ɉ k kh ɡ ʔ

s h
m  n  ñ ñ ŋ 
l 
ɾ","p ph b t th d c ɉ k kh ɡ ʔ",,"s h","m  n  ñ ñ ŋ ","l ",ɾ,,"Nc ?","j w",§,"i e ɛ","ʉ ə a","u o ɔ","v all but ʉ","§ ũ ... 
 i ...",,,,,,,,,,,,,,,,
2522,"Semaq Beri",,,"EC Malaysia (Pahang)","1,400","Austric: Austroasiatic: Mon-Khmer: South: Aslian: Southern",,,,ASP,"§p b t th d c ɉ k kh ɡ ʔ

s h
m  n ñ ŋ
l
ɾ","p b t th d c ɉ k kh ɡ ʔ",,"s h","m  n ñ ŋ",l,ɾ,,"Nc p t c k","j w",§,"i e ɛ","ʉ ə a","u o ɔ","v all but ʉ ə","§   ... 
 a ɔ ...",,,,,,,,,,,,,,,,
2523,Semelai,,,"S Malaysia  (S Pahang)","2,400","Austric: Austroasiatic: Mon-Khmer: South: Aslian: Southern",,,,,"§p b t th d c ch ɉ k kh ɡ ʔ

s sh h
m n ñ ŋ
l
ɾ","p b t th d c ch ɉ k kh ɡ ʔ",,"s sh h","m n ñ ŋ",l,ɾ,,"Nc p kh   ","j w",§,"i e ɛ","ʉ ə a","u o ɔ","v all but ɛ ʉ","ṽ ɛ ʉ ...",,,,,,,,,,,,,,,,
2524,Temoq,,,"S Malaysia (S Pahang)",100,"Austric: Austroasiatic: Mon-Khmer: South: Aslian: Southern",,,,ASP,"§p b t th d c ɉ k kh ɡ ʔ

s h
m n ñ ŋ
l
ɾ","p b t th d c ɉ k kh ɡ ʔ",,"s h","m n ñ ŋ",l,ɾ,,"Nc p t th","j w",§,"i e ɛ","ʉ ə a","u o ɔ",," ũ  ...",,,,,,,,,,,,,,,,
2525,Shompen,"Shom Peng",,"India (Nicobar Islands)",,"Austric: Austroasiatic: Mon-Khmer: South: Nicobar Islands",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,Nicobarese,,Nancowry,"India (Nicobar Islands)",,"Austric: Austroasiatic: Mon-Khmer: South: Nicobar Islands",,"GD: Radhakrishnan, R. 1981. The Nancowry Word, Phonology, Affixal Morphology and Roots of a Nicobarese Language. Edmonton, Canada: Linguistic Research.",,,"§p  t c k ʔ
  f  s       h
 m n ñ ŋ
      l
      ɾ","p t c k ʔ",,"f s h","m n ñ ŋ",l,ɾ,,,"j w","§ i  ɨ  u
  e  ə o
  ɛ     ɔ
  æ a","i e ɛ æ","ɨ ə a","u o ɔ",,"ṽ all but ɔ",,"ia ua ɨa",CV(C),,"final syllable of root",,,,,,,,,,,
2527,Nicobarese,,Car,"India (Nicobar Islands)",,"Austric: Austroasiatic: Mon-Khmer: South: Nicobar Islands",,,,"§Critchfield, Jean. 1966. ""Abstracts and Translations,"" IJAL 32, 393. 
WALS","§p  t  c k ʔ
  f  s        h
  v
 m n ñ  ŋ
      l
      ɾ ɹ","p t c k ʔ",,"f v s h","m n ñ ŋ",l,"ɾ ɹ",,,j,"§ i ɨ u
  e  o
  ɛ ə ɔ
     a","i e ɛ","ɨ  ə a","u o ɔ","v all","ṽ all",,,,,,,,,,,,"VOS NA NUM-N",,,,
2528,Nicobarese,,Nancowry,"India (Nicobar Islands)",800,"Austric: Austroasiatic: Mon-Khmer: South: Nicobar Islands","Man, Edward Horace. 1889. A Dictionary of the Central Nicobarese Language. London: W. H. Allen.","DG: Radhakrishnan, R. 1981. The Nancowry Word Phonology, Affixal Morphology and Roots of A Nicobarsese Language. Edmonton: Linguistic Research.",,WALS,"§p t c k ʔ

f s h
m n ñ ŋ
l
ɾ","p t c k ʔ",,"f s h","m n ñ ŋ",l,ɾ,,,"j w",§,"i e ɛ æ","ɨ ə a","u o ɔ",,"ṽ all but ɔ",,"ia ua ɨa",CV(C),,"final syllable of root",,,,2,,"§1 4d 4
2 5d 5
3 6d 6","VOS NA NG DN/ND NUM-N N-POSS Num+N+A",,,PREP,
2529,Proto-Austro-Tai,,,"SE Asia",,"Austric: Austro-Tai",,,,"Benedict, Paul K. 1975. Austro-Thai: Language and Culture. New Haven: HRAF Press.","§p b t d c ɉ k ɡ q G (ʔ)
ts dz
s z (š) ž) (x) ɣ (’) h
m n ñ ŋ N
l ḷ
r","p b t d c ɉ k ɡ q G (ʔ)","ts dz","s z (š) ž) (x) ɣ (’) h","m n ñ ŋ N","l ḷ",r,,"Nc p b t d c ɉ k ɡ q G ts dz s z (š) (ž) j","j w",§,"i e","ə a","u o","v ?",,,ia,(C)(C)V(C)(C),,,,,,,,"§1 4ie
2 5
3 6",,,,,
2530,Lati,,,"N Vietnam",450,"Austric: Daic: Lati-Gelao",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,"SVO NA NG",,,,
2531,Gelao,,,"SE China (WC Kweichow)","30,000","Austric: Daic: Lati-Gelao",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,"SVO NA NG",,,,
2532,Li,,,"SE China (C Hainan Island)","1 million","Austric: Daic: Li-Kam-Tai: Li-Laqua",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,"SVO NA NG",,,,
2533,Laqua,,,"N Vietnam",200,"Austric: Daic: Li-Kam-Tai: Li-Laqua",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,"SVO NA NG",,,,
2534,Laha,,,Vietnam,"2,000","Austric: Daic: Li-Kam-Tai: Li-Laqua",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,"SVO NA NG",,,,
2535,Be,"Lingao, Ong-Be",,"Chine (N Hainan Island)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
2536,Lakkia,,,"SE China (Kwangsi)","5,300","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Lakkia",,,,"Haudricourt, A.G. 1967. ""La langue lakkia,"" BSLP 62, 165-82.","§p ph    t th   k kh ʔ
 ʔb
 pl plh    ts tsh
ʔbl 
 f       ϑ                h
 m ml    n     ŋ
               j 
              l 
              
","p ph ʔb t th k kh ʔ","pl plh ʔbl ts tsh","f ϑ h","m  ml n  ŋ j","l ",,,"§cj k kh ŋ  h 
cʷ k kh h ŋ","j j ɥ w ","§ i    u
  e    o
  ɛ
     a","i e ɛ",a,"u o","v all but ɛ","ṽ ɛ a u o"," all but ɛ","§ie uo
 ĩe",,"hi lev hi fall lo-mid ris lo-mid ris-fall lo-mid fall-ris lo lev",,,,,,,,,,,,
2537,Kam,Dong,,"SE China (SE Kweichow)","1 million","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Kam-Sui",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
2538,Mak,,,"SE China (SE Kweichow)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Kam-Sui",,,,"AL 7:3","§p ph  t th         k kh ʔ
  b ʔb ʔd           ɡ
              č čh
              ǧ
 f        s  š            h
 v       z
 m      n ñ        ŋ
          l
","p ph b ʔb t th ʔd k kh ɡ ʔ","č čh ǧ","f v s z š h","m n ñ ŋ",l,,,"§cj p ph b t th d ʔd m n l 
cʷ k kh ɡ ʔd č čh s z n ñ ŋ l","j ɥ w","§ i     u
     ə  o
     a",i,"ə a","u o","i e ə a u o",,,,,"(hi lev) hi-fall hi-mid lev mid ris mid fall lo-mid ris",,,,,,,,,,,,
2539,Sui,,,"SE China (SE Kweichow)","133,000","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Kam-Sui",,,,"§Li, Fang-Kuei. 1948. ""The Distribution of Initials and Tones in the Sui Language,"" Lg 24, 160-7.
AL 7:3","§p ph    h              k kh q qh ʔ
  b ʔb    ʔ 
                    č čh
  ɸ        s       š        x             h
            z                ɣ ʔɣ ’
 m ʔm ʔ       ñ ʔñ   ŋ ʔŋ
             ñ       
         l
","p ph b ʔb  h  ʔ k kh q qh ʔ","č čh","ɸ s z š x ɣ ʔɣ ’ h","m  ʔm  ̪ ʔ ñ  ʔñ ŋ  ʔŋ",l,,,,"j ʔj w ʔw",,,,,,,,,C(G)V(C),"hi hi ris hi fall mid lo lo fall",,,,,,,,,,,,
2540,Then,,,"SE China (SC Kweichow)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Kam-Sui",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,Maonan,,,"SE China","37,000","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Kam-Sui",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
2542,Mulao,,,"SE China (Guizhou)","160,000","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Kam-Sui",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,Proto-Tai,,,"SE Asia",,"Austric: Austro-Tai: Kam-Tai: Tai",,,,"Li, Fang-Kuei. 1977. A Handbook of Comparative Tai. OLSP 15.","§p ph b ʔb  h  ɗ̪ k kh ɡ ʔ
č čh ǧ
f v s z x ɣ h
m    ñ  ŋ 
l 
r ","p ph b ʔb  h  ɗ̪ k kh ɡ ʔ","č čh ǧ","f v s z x ɣ h","m    ñ  ŋ ","l ","r ",,,"j ʔj w ʔw",§,"i e ɛ","ɨ ə a","u o ɔ","v ?",,,"§ie ɨe ue əi ei ɛi ai ɔi əɨ eɨ oɨ əu ou au ɛu iu ɨi 
iau iəu uai uəi",,4,,,,,,,,,,,,
2544,Ch'ien-chiang,,,"SE China",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,Zhuang,,,"SE China","14 million","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
2546,Giay,,,Vietnam,,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,Hsi-lin,,,"SE China (SE Yunnan)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,Kwei-yang,,,"SE China",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,Ling-yun,,,"SE China (NW Kwangsi)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,Lung-an,,,"SE China (C Kwiangsi)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,Nhang,,,"NW Vietnam","35,000","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,Bouyei,,,"SE China (Guizhou)","2 million","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,E,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
2553,Po-se,,,"SE China",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,Po-ai,,,"SE China (SE Yunnan)","3.2 million","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,"§Li, Fang-Kuei. 1977. A Handbook of Comparative Tai. OSLP 15. 
AL 7:3","§p (ph)  (h) k (kh) ʔ
č (čh)
f v š h
m  ŋ
l ɬ
","p (ph)  (h) k (kh) ʔ","č (čh)","f v š h","m  ŋ","l ɬ",,,,j,§,"i ɛ","ɨ a","u ɔ","i e ɛ ɨ ə a uo ɔ",,,"§ai au aɨ 
ai ɔi ōi ui ɨɨ au u ēu iu","(C)(G)V(C)  l↔|","hi lev hi-mid lev mid lev mid fall lo-mid lev lo-mid ris",,,,,,,,,,,,
2555,Qui-chau,,,Vietnam,,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,Saek,,"Ban Ba Wa","Thailand (Nakhon Phanom)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,"Tongkum, Theraphan L. 1976. ""The Saek Language of Ban Ba Wa: Some Phonetic Notes,"" in GR, 398-409.","§p ph b t th d k kh ɡ ʔ
č
v s h
m n ñ ŋ
l
ɾ","p ph b t th d k kh ɡ ʔ",č,"v s h","m n ñ ŋ",l,ɾ,,,j,§,"i (e) ɛ",a,"u ɯ o ɤ ɔ","v all",,,"§iu eu ɛu ai au ui oi ɤi ɔi iə ɯə uə 
ai au 
iəu uəi ɯəi uəu",(C)CV,"hi hi-fall mid-ris mid-lev-glot mid-fall-glot lo",,,,,,,,,,,,
2557,Tien-chow,,,"SE China (W Kwangsi)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,T'ien-pa,,,"SE China (NE Kweichow)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559,Zhongjia,,,"SE China",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,Tushan,,,"SE China (S Kwangsi)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,Wu-ming,,,"SE China (C Kwangsi)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,"AL 7:3","§p ʔb t ʔd k ʔ


m n ŋ
l
r","p ʔb t ʔd k ʔ",,,"m n ŋ",l,r,,"cɑ ŋ","j ʔj w ʔw",,,,"o ɑ","i e ɨ a u o",,,,,"hi lev hi fall mid lev mid ris lo fall lo ris",,,,,,,,,,,,
2562,Yay,,,"N Vietnam",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Northern",,,,"Gedney, William J. 1965. ""Yay a Northern Tai Language in North Viertnam,"" Lingua 14, 180-93.","§p ph b t th d c ch k kh (ɡ) ʔ

f v ϑ s h
m n ñ ŋ
l
r","p ph b t th d c ch k kh (ɡ) ʔ",,"f v ϑ s h","m n ñ ŋ",l,r,,"§ cj p b m 
cʷ k ʔ h ŋ","j ɥ",§,"i æ","ə a","u ɯ ɔ","v a only",,,"ia ɯa ua",CV(C),"hi lev hi-mid lev lo-mid lev lo-lev ris fall",,,,,,,,"SVO NA",,,,
2563,"Man Cao-lan",,,"N Vietnam (Moncay)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Central",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,Nung,,,"N Vietnam","170,000","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Central",,,,"Freiberger, Nancy E. 1964. ""A Phonemic Description of Nong (Nung),"" Te Reo 7, 15-22.","§p ph b t th d k kh ʔ
č
f s x
m n ñ ŋ
l ɬ
","p ph b t th d k kh ʔ",č,"f s x","m n ñ ŋ","l ɬ",,,,"j w",§,"i e ɛ","ɨ ə ɐ","u o ɔ","æ a ɑ",,,,CV(C),"hi ris hi glot mid lev lo ris lo fall lo glot",,,,,,,,"SVO NA",,,,
2565,Tay,,,"NE Vietnam",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Central",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,Tho,,,"N Vietnam","150,000","Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Central",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,Tien-pao,,,"SE China (W Kwangsi)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Central",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,Ts'un-lao,,,"N Vietnam (Monday)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Central",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,Yung-chu'un,,,"SE China (C Kwangsi)",,"Austric: Daic: Li-Kam-Tai: Be-Kam-Tai: Kam-Tai: Tai: Central",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
